timestamp,open,high,low,close,volume
1766901540000,87616.1,87616.2,87613.4,87616.2,2.386
1766901600000,87616.2,87616.2,87606.1,87611.4,466.592
1766901660000,87611.4,87611.5,87610.9,87611.3,5.124
1766901720000,87611.2,87611.5,87611.0,87611.4,5.963
1766901780000,87611.4,87613.1,87611.1,87611.1,48.658
1766901840000,87611.1,87611.2,87611.1,87611.2,1.698
1766901900000,87611.2,87631.8,87611.1,87631.8,4175.642
1766901960000,87631.8,87632.9,87631.1,87632.7,1224.411
1766902020000,87632.7,87644.1,87632.6,87644.1,1158.781
1766902080000,87644.1,87700.0,87643.3,87644.7,5691.485
1766902140000,87644.7,87660.1,87644.6,87644.9,1564.092
1766902200000,87644.9,87651.1,87644.6,87651.1,7.806
1766902260000,87651.1,87651.2,87644.6,87651.2,2228.716
1766902320000,87651.2,87665.0,87644.5,87644.6,1654.593
1766902380000,87644.6,87655.4,87644.5,87655.4,1.251
1766902440000,87655.4,87655.5,87644.5,87655.5,5.954
1766902500000,87655.5,87775.0,87644.5,87671.3,2959.111
1766902560000,87671.3,87692.1,87670.9,87671.2,1760.38
1766902620000,87670.9,87671.2,87656.7,87656.7,8.23
1766902680000,87656.7,87671.2,87656.6,87656.7,2.324
1766902740000,87656.7,87671.2,87656.6,87656.7,2.553
1766902800000,87656.7,87671.9,87656.7,87671.9,868.772
1766902860000,87671.9,87796.0,87671.9,87698.4,4618.776
1766902920000,87698.3,87714.9,87690.5,87699.0,2459.269
1766902980000,87699.0,87706.7,87698.5,87699.1,1660.348
1766903040000,87699.0,87716.8,87698.7,87699.0,1189.739
1766903100000,87699.0,87773.7,87696.8,87696.9,2297.551
1766903160000,87696.9,87716.3,87696.8,87701.1,4439.957
1766903220000,87701.1,87718.0,87691.4,87691.4,6148.736
1766903280000,87691.4,87691.7,87684.3,87684.3,64.201
1766903340000,87684.3,87684.4,87681.4,87684.4,18.614
1766903400000,87684.4,87713.2,87681.4,87698.1,3644.048
1766903460000,87698.1,87773.7,87681.4,87698.2,1870.969
1766903520000,87698.2,87714.3,87681.4,87698.1,1698.719
1766903580000,87698.1,87715.7,87681.4,87693.1,2039.453
1766903640000,87693.1,87706.3,87681.4,87692.3,1695.565
1766903700000,87692.3,87713.0,87681.4,87695.9,4213.396
1766903760000,87695.9,87735.7,87692.2,87692.2,4524.591
1766903820000,87692.2,87710.3,87681.4,87694.7,1694.698
1766903880000,87694.7,87712.0,87691.0,87691.0,1696.277
1766903940000,87691.0,87754.1,87681.4,87728.8,4763.081
1766904000000,87728.8,87748.2,87681.4,87729.9,2080.098
1766904060000,87729.9,87770.1,87681.4,87740.5,5561.904
1766904120000,87740.5,87763.7,87681.6,87748.0,5193.935
1766904180000,87748.0,87763.2,87740.5,87749.5,3916.854
1766904240000,87749.5,87763.4,87681.6,87749.6,1766.971
1766904300000,87681.6,87749.6,87681.6,87726.7,6.819
1766904360000,87726.7,87737.8,87681.6,87735.6,7.517
1766904420000,87735.5,87749.8,87681.6,87722.7,1208.149
1766904480000,87722.7,87722.7,87681.6,87722.7,8.018
1766904540000,87722.7,87734.1,87681.6,87734.1,1.696
1766904600000,87734.1,87734.1,87681.6,87728.7,3.366
1766904660000,87728.7,87734.1,87681.6,87718.3,1.157
1766904720000,87718.3,87722.8,87681.6,87718.2,13.001
1766904780000,87718.2,87722.0,87681.6,87718.5,1.656
1766904840000,87722.0,87732.5,87681.6,87732.5,5.581
1766904900000,87732.5,87732.6,87681.6,87732.6,2.302
1766904960000,87732.6,87732.6,87681.7,87732.5,2.928
1766905020000,87732.5,87732.6,87681.7,87723.7,5.734
1766905080000,87723.7,87723.7,87681.6,87708.4,9.6
1766905140000,87706.7,87734.1,87681.4,87696.0,1598.682
1766905200000,87695.9,87720.8,87680.4,87680.4,1750.398
1766905260000,87680.4,87680.9,87658.8,87658.9,6501.775
1766905320000,87658.9,87674.7,87650.1,87653.4,3855.484
1766905380000,87653.5,87666.4,87650.1,87666.4,26.35
1766905440000,87666.4,87666.5,87651.1,87666.4,315.621
1766905500000,87666.4,87666.5,87666.4,87666.5,4.441
1766905560000,87666.5,87673.3,87666.4,87673.3,148.686
1766905620000,87673.6,87683.4,87672.0,87683.1,634.261
1766905680000,87683.1,87683.4,87663.9,87663.9,863.123
1766905740000,87663.9,87671.5,87663.7,87671.4,72.409
1766905800000,87671.4,87746.7,87671.2,87671.3,1893.988
1766905860000,87671.3,87687.5,87671.2,87671.3,1444.326
1766905920000,87671.3,87688.3,87671.2,87671.3,1716.961
1766905980000,87671.3,87685.3,87671.3,87677.3,2071.065
1766906040000,87677.3,87692.7,87671.8,87678.2,4413.65
1766906100000,87678.2,87773.7,87671.3,87671.3,2116.426
1766906160000,87671.3,87678.2,87661.5,87661.5,2.088
1766906220000,87661.5,87678.2,87661.4,87661.4,0.969
1766906280000,87661.4,87757.2,87651.3,87651.3,2857.938
1766906340000,87651.2,87681.1,87643.6,87647.3,5445.811
1766906400000,87647.3,87659.4,87643.6,87651.6,4201.223
1766906460000,87651.6,87656.3,87643.5,87656.3,20.441
1766906520000,87656.3,87659.9,87643.5,87659.9,4.491
1766906580000,87659.9,87675.1,87643.5,87666.3,1278.585
1766906640000,87666.3,87683.7,87643.5,87657.3,2741.818
1766906700000,87657.3,87657.4,87643.5,87645.3,7.824
1766906760000,87645.3,87679.2,87643.5,87649.9,3103.573
1766906820000,87649.9,87655.2,87643.5,87655.2,3.381
1766906880000,87655.5,87657.2,87643.5,87646.5,16.882
1766906940000,87646.5,87661.4,87643.5,87652.7,1785.29
1766907000000,87652.7,87659.7,87643.5,87652.7,1617.127
1766907060000,87652.7,87773.7,87642.6,87652.7,1719.345
1766907120000,87652.8,87672.5,87642.6,87652.8,1713.262
1766907180000,87642.6,87652.8,87642.6,87652.8,1.569
1766907240000,87652.8,87666.2,87642.6,87657.3,2.696
1766907300000,87657.3,87666.2,87652.8,87657.3,3.209
