
"Order No.,Time,Symbol,Side,Price,Quantity,Fee,Role,Realized Profit"
"11577773292,2026-01-11 09:19:01,BTCUSDT Perp,Sell,""90,508.40"",""271.6 USDT"",""0.05430504 USDT"",Maker,0.22320000 USDT"
"11577773292,2026-01-11 09:19:00,BTCUSDT Perp,Sell,""90,508.40"",""181.1 USDT"",""0.03620335 USDT"",Maker,0.14880000 USDT"
"11577676689,2026-01-11 09:13:06,BTCUSDT Perp,Buy,""90,434.00"",""21,161.6 USDT"",""8.46462240 USDT"",Taker,0.00000000 USDT"
"11577565542,2026-01-11 09:06:07,BTCUSDT Perp,Buy,""90,428.10"",""21,069.8 USDT"",""8.42789892 USDT"",Taker,21.99789999 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.40"",""15,207.8 USDT"",""6.08310528 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""362.1 USDT"",""0.14483647 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""905.3 USDT"",""0.36209120 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""905.3 USDT"",""0.36209120 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""633.7 USDT"",""0.25346384 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""452.7 USDT"",""0.18104560 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""543.2 USDT"",""0.21725472 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""543.2 USDT"",""0.21725472 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""452.7 USDT"",""0.18104560 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""452.7 USDT"",""0.18104560 USDT"",Taker,0.00000000 USDT"
"11576143879,2026-01-11 07:46:07,BTCUSDT Perp,Sell,""90,522.80"",""633.7 USDT"",""0.25346384 USDT"",Taker,0.00000000 USDT"
"11576126086,2026-01-11 07:45:07,BTCUSDT Perp,Sell,""90,524.20"",""14,121.8 USDT"",""5.64871008 USDT"",Taker,-21.99300000 USDT"
"11576126086,2026-01-11 07:45:07,BTCUSDT Perp,Sell,""90,524.30"",""181.1 USDT"",""0.07241944 USDT"",Taker,-0.28176153 USDT"
"11576126086,2026-01-11 07:45:07,BTCUSDT Perp,Sell,""90,524.30"",""90.6 USDT"",""0.03620972 USDT"",Taker,-0.14088076 USDT"
"11576125916,2026-01-11 07:45:06,BTCUSDT Perp,Sell,""90,524.40"",""543.2 USDT"",""0.10862928 USDT"",Maker,-0.84468461 USDT"
"11576125916,2026-01-11 07:45:06,BTCUSDT Perp,Sell,""90,524.40"",""814.8 USDT"",""0.16294392 USDT"",Maker,-1.26702692 USDT"
"11576125748,2026-01-11 07:45:05,BTCUSDT Perp,Sell,""90,524.40"",""543.2 USDT"",""0.10862928 USDT"",Maker,-0.84468461 USDT"
"11576125748,2026-01-11 07:45:05,BTCUSDT Perp,Sell,""90,524.40"",""633.7 USDT"",""0.12673416 USDT"",Maker,-0.98546538 USDT"
"11576125748,2026-01-11 07:45:05,BTCUSDT Perp,Sell,""90,524.40"",""814.8 USDT"",""0.16294392 USDT"",Maker,-1.26702692 USDT"
"11576125748,2026-01-11 07:45:04,BTCUSDT Perp,Sell,""90,524.40"",""724.2 USDT"",""0.14483904 USDT"",Maker,-1.12624615 USDT"
"11576125348,2026-01-11 07:45:03,BTCUSDT Perp,Sell,""90,524.40"",""543.2 USDT"",""0.10862928 USDT"",Maker,-0.84468461 USDT"
"11576125348,2026-01-11 07:45:03,BTCUSDT Perp,Sell,""90,524.40"",""181.1 USDT"",""0.03620976 USDT"",Maker,-0.28156153 USDT"
"11576125348,2026-01-11 07:45:03,BTCUSDT Perp,Sell,""90,524.40"",""724.2 USDT"",""0.14483904 USDT"",Maker,-1.12624615 USDT"
"11576124603,2026-01-11 07:45:02,BTCUSDT Perp,Sell,""90,524.40"",""181.1 USDT"",""0.03620976 USDT"",Maker,-0.28156153 USDT"
"11576124603,2026-01-11 07:45:02,BTCUSDT Perp,Sell,""90,524.40"",""633.7 USDT"",""0.12673416 USDT"",Maker,-0.98546538 USDT"
"11576124191,2026-01-11 07:45:01,BTCUSDT Perp,Sell,""90,524.40"",""452.7 USDT"",""0.09052440 USDT"",Maker,-0.70390384 USDT"
"11573959263,2026-01-11 05:46:06,BTCUSDT Perp,Buy,""90,684.20"",""272.1 USDT"",""0.10882104 USDT"",Taker,0.00000000 USDT"
"11573959263,2026-01-11 05:46:06,BTCUSDT Perp,Buy,""90,666.50"",""10,245.4 USDT"",""4.09812580 USDT"",Taker,0.00000000 USDT"
"11573959191,2026-01-11 05:46:06,BTCUSDT Perp,Buy,""90,666.40"",""3,989.4 USDT"",""0.79786432 USDT"",Maker,0.00000000 USDT"
"11573959191,2026-01-11 05:46:05,BTCUSDT Perp,Buy,""90,666.40"",""634.7 USDT"",""0.12693296 USDT"",Maker,0.00000000 USDT"
"11573959191,2026-01-11 05:46:05,BTCUSDT Perp,Buy,""90,666.40"",""181.4 USDT"",""0.03626656 USDT"",Maker,0.00000000 USDT"
"11573959048,2026-01-11 05:46:04,BTCUSDT Perp,Buy,""90,666.40"",""816.0 USDT"",""0.16319951 USDT"",Maker,0.00000000 USDT"
"11573959048,2026-01-11 05:46:04,BTCUSDT Perp,Buy,""90,666.40"",""272.0 USDT"",""0.05439984 USDT"",Maker,0.00000000 USDT"
